"Station","LatD","LatM","LatS","LonD","LonM","LonS","RKI","Location","AreaCode","Notes"
997,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
998,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
999,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
323,38,2,34.40,122,17,10.70,"LSPE10","San Pablo Bay. Rodeo flats west of Rodeo Marina and opposite to the end of the rock wall @ 10’ depth",1,
328,38,3,37.10,122,21,0.00,"LSPD12","SP Bay-About 1900 yds NW of Ship Channel Light 11",1,"High Outflow Station only"
329,38,3,49.00,122,18,14.40,"LSPD16","SP Bay 800 yds N of Ship Channel Light 13",1,"High Outflow Station only"
334,38,4,35.00,122,20,16.80,"LSPC14","SP Bay-3000 yds N of Ship Channel Light 11",1,"High Outflow Station only"
335,38,4,16.00,122,19,26.40,"LSPC16","SP Bay-2700 yds NW of rock wall on flats",1,"High Outflow Station only"
336,38,3,39.90,122,16,40.80,"RSAC040","SP Bay along N side of channel E of Light 15",1,"High Outflow Station only"
340,38,5,57.20,122,15,47.80,"RNAP005","Napa River. Along Vallejo seawall and park @ 10-12’ depth",2,
341,38,7,38.10,122,16,43.60,"RNAP007","Napa R .6km N of Dutchman Slough",2,"Discontinued Station. Started sampling 1996 survey 2. Only sampled twice survey 2 & 3 1996."
342,38,8,46.50,122,17,19.50,"RNAP009","Napa River. Tow across South Slough on west bank @ 22’ depth",2,"Started sampling 1996 survey 2"
343,38,10,56.50,122,18,33.40,"RNAP015","Napa River. Tow between lights #9 and #11 @ 10’ depth",2,"Started sampling 1996 survey 2"
344,38,12,45.70,122,18,31.30,"RNAP019","Napa River. Just past railroad bridge across Fagan Sl. @ 15’ depth",2,"Started sampling 1996 survey 2"
345,38,13,25.80,122,18,32.30,"RNAP021","Napa River. Just past entrance to marina up to Cuttings Wharf @ 15 depth",2,"Started sampling 1996 survey 2"
346,38,14,11.00,122,17,13.80,"RNAP023","Napa River. Just past last bend before Hwy 12 bridge @ 17’ depth",2,"Started sampling 1996 survey 2"
